 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
It seems to be the tile which covered the hole in the floor.	這看起來就是原本蓋在地板洞口上的那片地磚。
There are many of them organized in the shape of a floor.	這裡有一大堆，排成了地板的形狀。
The floor of the cabin consists mainly of a ramp that is currently shut.  An access panel has been removed to reveal an empty reactor compartment.	艙房地板主要是一片目前關閉的坡道。有一塊維修面板已被拆下，露出空蕩蕩的反應爐艙。
The floor of the cabin consists mainly of a ramp that is currently shut.	艙房地板主要是一片目前關閉的坡道。
The control panel contains a computer screen.  All ship systems are accessed through the pilot's computer.	控制面板上有一個電腦螢幕。所有船艦系統都要透過駕駛電腦來操作。
The access panel has been removed to reveal an empty reactor compartment.	維修面板已被拆下，露出空蕩蕩的反應爐艙。
The access panel is firmly in place.	維修面板牢牢地裝在原位。
There is no need to look at the computer right now.	現在沒必要看這台電腦。
The diagnostic computer gives you detailed information about the ship's systems.  However, you'll need to get up to use it.	診斷電腦能提供船艦系統的詳細資訊。不過你得先站起來才能使用它。
The pilot's computer is dead.	駕駛電腦已經沒電了。
It's your basic spaceship interior wall.	這就是普普通通的太空船內牆。
The Two Guys from Andromeda are a couple of really hip dudes.  You wish you could be like them.	仙女座雙傑真的是超酷的兩個傢伙。你真希望自己也能像他們一樣。
Nobody here but you, Wilco.	這裡除了你，威爾科，沒別人了。
Yep, that's a seat cushion alright!	沒錯，那的確是個座墊！
You are sitting in the pilot's seat of this sporty little ship.  In front of you is the control panel, which contains a computer screen.	你坐在這艘小巧帥氣的太空船的駕駛座上。你面前是控制面板，上面有個電腦螢幕。
Why not go sit down and take a look.	何不坐下來看看呢。
You can just see over the trash piled up against the cockpit window.  Above you is the ceiling of the junk freighter.	你勉強能越過堆在座艙窗上的垃圾看出去。你頭頂上是這艘垃圾貨船的天花板。
Gosh!  Isn't it amazing how big a spot those space gnats make when you're traveling at light speed!	哇塞！你有沒有發現，用光速飛行的時候，那些太空小蟲撞出來的痕跡有多大！
Wow, a bunch of stars!  Not exactly a new sight for your space-weary eyes.	哇，一大片星星！對你這雙看膩太空的眼睛來說，算不上什麼新鮮事。
The happy lights of Monolith Burger entice you to enter.	巨石漢堡歡樂的燈光在誘惑你走進去。
You are currently orbiting Ortega.	你目前正繞著歐特加運行。
You are currently orbiting Phleebhut.	你目前正繞著弗利布特運行。
You are currently orbiting Pestulon.	你目前正繞著佩斯圖倫運行。
Outside, the stark surface of Ortega stretches into the distance.  A lava-lovers paradise, to be sure.	窗外，歐特加光禿禿的地表一路延伸到遠方。絕對是熔岩愛好者的天堂。
Outside, the desert surface of Phleebhut stretches into the distance.  Countless eons of howling winds have carved this dry planet.	窗外，弗利布特的沙漠地表一路延伸到遠方。無數個世紀的呼嘯狂風，把這顆乾燥的星球雕刻成現在的模樣。
Outside, the strange surface of Pestulon stretches into the distance.  Forces beyond your comprehension seem to have shaped this bizarre world.	窗外，佩斯圖倫詭異的地表一路延伸到遠方。似乎有某種超乎你理解的力量，塑造出了這個怪異的世界。
The window is transparent.	這扇窗是透明的。
The pilot seat is covered in fine Vorlian pseudoleather.  Ergonomically designed to be comfortable yet stylish.	駕駛座覆著上等的沃利安人造皮革。人體工學設計，兼顧舒適與時尚。
Yep, there's a bunch of 'em!	沒錯，這裡有一大堆！
You'll have to go into space for that.	這件事你得出到外太空才行。
Looking up, you see a space docking hatch.	你抬頭一看，看見一個太空對接艙口。
Through the window you see the ceiling of the junk frieghter.	透過窗戶，你看見垃圾貨輪的天花板。
Through the window you see the sky above.	透過窗戶，你看見上方的天空。
The landing ramp is currently closed.	降落坡道目前是關閉的。
The space docking hatch is currently closed.	太空對接艙口目前是關閉的。
The button is clearly labeled 'ramp open/close.'	這顆按鈕上清楚標著「坡道開∕關」。
Whoever ripped out the reactor didn't treat the wires too well.  The short cable's end is torn and frayed.	拆走反應爐的傢伙對電線可不怎麼溫柔，這條短電纜的末端已經扯破磨損了。
The cables are snug in their compartment.	這些電纜穩穩地收在艙格裡。
At first you are surprised at how intact the ship's interior is.   Immediately to your right is a panel with a red button.   At midship on the right wall is the ship's main diagnostic computer.  Directly across are two passenger seats.  Ahead of you is the cockpit.	一開始你很驚訝，這艘船的內部居然保存得這麼完整。就在你右手邊是一面裝有紅色按鈕的面板。船艙中段右牆上是這艘船的主診斷電腦。正對面是兩張乘客座椅。你前方則是駕駛艙。
Immediately to your right is a panel with a red button.  At midship on the right wall is the ship's main diagnostic computer.   Directly across are two passenger seats.   Ahead of you is the cockpit.	就在你右手邊是一面裝有紅色按鈕的面板。船艙中段右牆上是這艘船的主診斷電腦。正對面是兩張乘客座椅。你前方則是駕駛艙。
You already did that.	你已經做過這件事了。
You can't install it from here.	你沒辦法從這裡把它裝上去。
That wouldn't do any good.	這樣做沒有用。
The reactor is automatic.  Just put it in and forget it!	這反應爐是全自動的，裝上去就不用管它了！
Now that it's in place, you hate to take it out again.	都已經裝好了，你才不想把它拆下來。
There's no reactor here.	這裡沒有反應爐。
No seatbelts here.  The original owner opted for the 'no-frills' package.	這裡沒有安全帶，原車主當初選配的是「陽春款」方案。
You're not even sitting down!	你根本沒有坐下來好嗎！
It's already open.	已經是開著的了。
The panel is doing its job nicely, don't mess with it.	這面板做得好好的，別去亂動它。
But you're not finished in there.	但你在裡面的事還沒辦完。
Come on, you wouldn't fit in there!	拜託，你根本塞不進去好嗎！
You drop the reactor into the hole, carefully reconnect the cables, and put the tile back in place.	你把反應爐放進洞裡，小心翼翼接回電纜，再把面板蓋回原位。
You drop the reactor into the hole. In attempting to reconnect the cables, you find that one is much too short.	你把反應爐放進洞裡。正打算接回電纜時，你發現有一條線根本不夠長。
You carefully connect the wire between the ship and the reactor, putting the tile back in place once you've finished.	你小心翼翼把船體與反應爐之間的電線接好，完工後再把面板蓋回原位。
You install the wire inside the reactor compartment.	你把電線裝進反應爐艙格裡。
A flashing message on your monitor attracts your attention.	螢幕上一則閃爍的訊息吸引了你的注意。
Your ship hovers between the garbage below and the ceiling above.  This will never do.	你的船懸在下方垃圾堆與上方天花板之間，這樣下去可不行。
Once again you try to bring the ship from the rubble. You wonder how many times the ship can take this.	你再次試著把船從瓦礫堆中拉出來，心裡納悶這艘船到底還能撐幾次。
You feel a strong rumbling as the ship strains to loosen itself from the confines of the junk heap accumulated at its base. Finally, it begins to rise.	你感覺到一陣強烈的轟隆聲，船身正奮力掙脫底部堆積如山的垃圾。終於，船開始緩緩上升。
The ship rises several meters, then stops abruptly. An alarm from the computer attracts your attention.	船上升了幾公尺後突然停住，電腦傳來的警報聲吸引了你的注意。
The ship rises successfully, but collides with the top of the freighter.  The resulting explosion sends a potpourri of flesh and metal fragments careening in all directions.	船順利升起，卻一頭撞上貨輪的頂部。隨之而來的爆炸把血肉與金屬碎片炸得到處亂飛。
The ship settles back down into the nest of debris.	船又落回那堆殘骸窩裡。
You seem to be in a debris-enclosed hollow. Poking out of the ceiling is the chute which you originally entered through. Some crusty lamps linked by non-UL Approved wire provide additional illumination.	你似乎身處一個被殘骸包圍的凹坑中。天花板上突出的是你當初進來時用的滑槽。幾盞老舊的燈用未經 UL 認證的電線串著，提供額外照明。
You seem to be in a debris-enclosed hollow. Poking out of the ceiling is the chute which you originally entered through. Some crusty lamps linked by non-SQ Approved wire formerly provided additional illumination.	你似乎身處一個被殘骸包圍的凹坑中。天花板上突出的是你當初進來時用的滑槽。幾盞老舊的燈原本用未經 SQ 認證的電線串著，提供額外照明。
The aging lamps add extra light to the area. Over-used wires link them to power.	這些老舊的燈為此區增添了額外光線，過度使用的電線把它們接上電源。
There's something that's in short supply. The only light here is that which manages to filter its way through the dense mesh of metals.	這裡缺的東西還真不少，唯一的光線只能勉強從密密麻麻的金屬縫隙中透進來。
Some brittle-looking wire runs from lamp to lamp and then disappears into a hole to the left.	一些看起來脆弱不堪的電線從一盞燈接到另一盞燈，然後消失在左邊的一個洞裡。
They're rats!	是老鼠！
You can hear something scurrying around above you. (You can't actually see the rats because they're hidden in the shadows.)	你聽見頭頂上方有什麼東西在竄動。（你其實看不見那些老鼠，因為牠們躲在陰影裡。）
They seem to be attached to a reactor.	它們似乎連接著一個反應爐。
There is nothing interesting about loose wire ends.	這些鬆脫的電線頭沒什麼好看的。
They aren't visible here.	這裡看不到它們。
You peer into the small opening and notice %s.	你朝小開口望去，注意到%s。
You notice nothing of interest.	你沒注意到什麼特別的東西。
You stare at the ceiling which, as usual, is overhead. You see nothing particularly unique about the structure.	你盯著天花板看，一如往常，它就在你頭頂上。這結構沒什麼特別之處。
This wall is the same as the others except that it has a small hole in it.	這面牆跟其他牆沒兩樣，只是上面有個小洞。
All terrain nearby is chock-full of jagged edges and barbed protrusions. I wouldn't try that here.	附近地形全是鋸齒狀邊緣與尖刺突起，我勸你別在這裡輕舉妄動。
The chute juts into the room from high above. It is covered by two large doors. While staring at it, you briefly entertain the thought of trying to climb back up it. You realize that it is firmly sealed and forget about it.	滑槽從高處突入這個房間，上面覆著兩扇大門。盯著它看時，你一度動了想爬回去的念頭，但很快發現它封得死死的，只好打消念頭。
It's a low-tech ascent/descent module	這是個低科技的升降艙
The floor is composed of a mosaic of overlapping welded steel plates. The menage of used metal appears to have been cut from a variety of sources.	地板是由層層焊接的鋼板拼湊而成，這堆五花八門的舊金屬看起來是從各種來源切割拼裝的。
The walls consist of compacted refuse. Yuck! There seems to be a small hole in the west one.	牆壁是由壓實的廢棄物構成，噁！西邊那面牆上似乎有個小洞。
In one of the piles you notice a severed wing and some empty cowlings of different shapes and sizes. The items were probably being readied for whatever destructive processing is done aboard this heap.	在其中一堆廢料裡，你注意到一片斷裂的機翼，以及幾個大小形狀不一的空引擎罩。這些東西大概是準備要送去這艘垃圾船上做某種破壞性處理的。
The wing has been severed and is now worthless.	這片機翼已經斷裂，現在一文不值。
The empty cowlings now cover nothing but useless junk.	這些空引擎罩底下現在只蓋著沒用的垃圾。
There is no ladder near here to climb.	這附近沒有梯子可以爬。
There is no ladder near here to get.	這附近沒有梯子可以拿。
They would not be helpful.	它們幫不上忙。
This stuff has no value to you.	這些東西對你沒有價值。
You unhook the reactor from the cheap wires and take it with you.	你把反應爐從那些廉價電線上拆下來，隨身帶走。
You aren't near it.	你離它還太遠。
There isn't one here to get.	這裡沒有東西可以拿。
You'll not be successful that way.	這樣做行不通的。
That won't further your progress.	這樣做對你的進度毫無幫助。
The chute is covered by two large doors which you are unable to open.	滑槽被兩扇大門擋著，你打不開。
Fortunately, you come to a relatively soft landing in a pile of debris.	幸好，你落在一堆殘骸上，著陸還算軟。
You hear strange growls which send chills through your sleek, yet rugged, frame. What could it be?	你聽見一陣詭異的低吼，讓你那流線卻堅韌的身軀不禁一陣發寒。那會是什麼呢？
Suddenly, two hideous figures rush from the shadows toward you!	突然，兩個猙獰的身影從陰影中朝你衝來！
Oh my! It appears that your being trapped has made you a prime target for rodent ruffians. What a mess!	天哪！看來你這一困住，正好成了鼠輩流氓的頭號目標。真是一團亂！
Looks like this bird's in good shape.	看樣子這隻鐵鳥狀態還挺不錯的。
CURRENT SECTOR:	目前星區：
PRESS F6 FOR COCKPIT VIEW	按 F6 切換駕駛艙視角
Those jokers back on Pestulon must have tampered with the lightspeed thingamajig!	佩斯圖倫那票小丑一定動了光速裝置的手腳！
With the engines off, the ship falls abruptly to the floor.   The resulting impact is too much for it and you.	引擎一關，太空船猛然墜落地面。這一撞，船跟你都撐不住。
LEAVE RADAR SYSTEM ON WHILE IN FLIGHT	飛行時請保持雷達系統開啟
TARGET:	目標：
The remaining enemy ships have given up and are heading back to the planet.  It looks like you were just too much for 'em.	剩下的敵艦放棄了，掉頭飛回星球。看來你讓他們吃不消。
With your shield depleted, the final hit shreds the side of your ship.  In the sudden vacuum, your body fluids expand beyond the capacity of your tissues.  Your desicated body will drift forever, a grim testament to your blundering stupidity.	護盾耗盡，最後一擊把你的船側轟出個大洞。真空瞬間湧入，你體內的體液膨脹到組織承受不住。你風乾的遺體將永遠漂流太空，見證你有多蠢。
Having the correct shield up could have prevented this!   The final shot shreds the side of your ship.  In the sudden vacuum, your body fluids expand beyond the capacity of your tissues.  Your desicated body will drift forever, a grim testament to your blundering stupidity.	早知道開對護盾就不會這樣了！最後一擊把你的船側轟出個大洞。真空瞬間湧入，你體內的體液膨脹到組織承受不住。你風乾的遺體將永遠漂流太空，見證你有多蠢。
When the enemy ship comes from behind, you will automatically begin tracking. Use the direction keys or mouse to move the target cross-hairs onto the target. When you are locked on, use the space bar to fire.	敵艦從後方出現時，系統會自動開始追蹤。用方向鍵或滑鼠移動瞄準十字線對準目標，鎖定後按空白鍵開火。
A beep is issued by the computer as the screen changes.	電腦發出一聲嗶，畫面隨之切換。
The shot blasts a new orifice in the side of the junk freighter.	這一砲在破爛貨船側面轟出一個新窟窿。
The pressure generated by the desire of the ship's atmosphere to escape to the considerably lower pressure of space causes your ship to be spit out like a watermelon seed.	船內空氣急著逃向壓力低得多的太空，這股衝力把你的船像西瓜籽一樣噴射出去。
Unfortunately, your inadequately protected ship is struck and subsequently destroyed in the bottle neck of metallic objects striving to pass through the same relatively small opening.	可惜你的船防護不足，在一堆金屬物爭相擠過同一個小開口的混亂中被擊中，隨即報銷。
Gosh Rog, we really appreciate you saving us and all.	天啊羅傑，真的很感謝你救了我們。
Yeah, we were really scared.  We didn't know what Pug was gonna do to us.	對啊，我們嚇壞了。都不知道帕格打算對我們做什麼。
Hey, uh, don't you think we better get outta here?  Pug's really sore and he probably sent some ships after us.	嘿，呃，我們是不是該快點離開這裡？帕格氣炸了，八成已經派船來追我們了。
So, how do you like the game so far?  Was it worth $59.95?	對了，這遊戲玩到目前為止怎麼樣？值不值 $59.95？
Hey, we're hungry.  We haven't eaten anything but jello for the last few weeks.	嘿，我們餓了。這幾個星期除了果凍什麼都沒吃過。
I hafta go to the bathroom.	我要上廁所啦。
Can't you make this crate go any faster?	這破船不能再開快一點嗎？
Just between you and me, I think ol' Wilco's been in space too long.	偷偷跟你說，我覺得老威爾科在太空待太久了。
Man oh man!  You really showed those bozos a thing or two!  Now can we get something to eat?	天哪天哪！你真的把那群蠢蛋教訓了一頓！那現在能吃點東西了嗎？
You inform the Two Guys that light speed is no longer functional.  They're not overly pleased by this piece of news.	你告訴仙女座雙傑光速引擎已經故障。他們對這消息一點也不開心。
what!!  Now I'll never get any food!  Some rescuer you are!	什麼！！這下我永遠吃不到東西了！你這算哪門子救星啊！
Hey, what's this thing on the wall?	嘿，牆上這是什麼東西？
it sez...'light speed maintenance access panel.'  gee, maybe i can fix this bucket of plastobolts!	上面寫著……「光速維修檢修板」。嘿，說不定我能修好這堆破銅爛鐵！
yeah, this is it!  this fan belt thing came off of the round thing it was on.  Just a second.	對，就是這個！這條風扇皮帶從那個圓形的東西上滑脫了。等我一下。
ok, she's all fixed.  let's go grab a burger!	好了，修好了。我們去吃漢堡吧！
Too late you realize that you have no course laid in.  The light engines kick in before you can override.  You inform the Two Guys that light speed is now functional, but it's out of control.  They're not overly pleased with this bit of news, either.	你這才發現根本沒設定航線，但為時已晚。光速引擎在你能覆蓋操作前就啟動了。你告訴仙女座雙傑光速引擎修好了，但完全失控。這消息同樣讓他們笑不出來。
aaaaaaaahhhh!!!!  we're gonna die!!!!!!	啊啊啊啊啊啊！！！！我們要死了！！！！！！
oh noooooooo!!!  why did i get up this morning?!!!	喔不——！！！我今天早上到底幹嘛要起床啊！！！
mommyyyyyyyyy!!!!	媽咪——！！！！
Careening blindly through space, your ship speeds toward a sizable black hole.  Once within the gravitation of the black hole, there's no escape.  You plunge into destiny.	你的船在太空中盲目狂飆，直衝一個不小的黑洞而去。一旦進入黑洞重力範圍就再也逃不掉。你一頭栽進了命運。
PRESS F6 TO EXIT	按 F6 離開
You haven't even ordered.	你根本還沒點餐。
Cash only, please.	請付現金。
The more you look at the food, the less like food it looks.   You can't help wondering how long some of this stuff has been sitting out here just waiting for a sucker like you to come along and eat it.	你越看這份食物，越不覺得它像食物。你忍不住猜想，這玩意兒到底放了多久，就等著像你這種傻瓜上門吃下肚。
The ceiling above, the floor below, the physical laws of the universe are unchanging.  Suspended above you is a menu.	上有天花板，下有地板，宇宙物理法則從未改變。你頭頂上方懸著一份菜單。
You think the sign should be titled `Employee With the Most Facial Orifices.'	你覺得這張告示牌應該改名叫「臉部開孔最多員工獎」。
The clerk is wearing the crisply starched uniform that you've come to know and love in Monolith Burgers everywhere.  It looks like it's made from the same substance as the food.	店員穿著那套你在各地巨石漢堡都熟悉又喜愛的挺括制服，看起來材質跟食物是同一種東西做的。
The clerk is offended that you would think he's a female.  Any idiot should be able to tell the difference.	店員對你把他當成女性感到很不爽。這種事白痴都分得出來。
The clerk looks like he'd rather be doing anything besides waiting on you.	店員一臉寧可做任何事也不想理你的樣子。
The huge, alien eyes seem to exude a vast intelligence.   But, you're not fooled.	這雙碩大的外星眼睛似乎散發著深邃智慧。但你才不會被騙。
A dental hygienist's nightmare.	牙齒保健員的惡夢。
When this guy gets a cold, tissue company stocks rise dramatically.	這傢伙一感冒，衛生紙公司的股票就會狂飆。
"I don't have all day, sir," he says in a mock-polite tone of voice.	「我可沒那麼多時間喔，先生。」他用假惺惺的客氣語氣說。
Not being sure what he might do with his many orifices, you decide against it.	你不確定他那些孔洞會拿來幹嘛，還是打消了念頭。
The only thing you can smell is the aroma of home-cooked food.  Obviously a piped-in smell to mask the odor of the real food.	你唯一聞到的是家常菜的香氣。顯然是刻意灌進來的味道，用來蓋掉真正食物的臭味。
You'll have to go sit down for that.	你得先坐下才能這麼做。
The big yellow 'M' welcomes you to another culinary experience at Monolith Burger	巨大的黃色「M」字歡迎你再度光臨巨石漢堡的美食體驗
Captain's Log: Funny, I thought this was the last frontier, but it seems like there's a fast food joint around the corner from every star cluster.	艦長日誌：說也奇怪，我一直以為這裡是最後的邊疆，結果每個星團轉角好像都有間速食店。
Outside, the cold vacuum of space pulls at the fragile steel membrane that surrounds you.   Apprehension grips you as you realize your insignificance in the vastness of the universe.   The whirling cosmic display seems to... you know, the usual science fiction kinda stuff.	外頭，冰冷的太空真空拉扯著包裹你的脆弱鋼殼。當你意識到自己在浩瀚宇宙中多麼渺小，一股不安湧上心頭。眼前旋轉的星海景象彷彿……嗯，就是那種科幻片常見的老套畫面。
The floor below, the ceiling above. The physical laws of the universe are unchanging.  Hanging from the ceiling is a menu.	下有地板，上有天花板。宇宙物理法則從未改變。天花板上垂掛著一份菜單。
The cheerfully painted walls keep the floor and the ceiling from slamming into each other.	漆得歡樂繽紛的牆壁，撐住地板跟天花板不讓它們互撞。
There are no counter clerks in sight.  They must all be in the back taking a break.	櫃檯前一個店員也沒有，八成都跑到後面休息去了。
Your eyes take in the diversity of alien forms without much interest.  After all, you're quite a spacefaring kinda guy.	你的目光掃過各式各樣的外星生物，卻提不太起興趣。畢竟你也算是見過世面的太空人了。
Your ship waits patiently outside the restaurant.	你的太空船正耐心地停在餐廳外等你。
Yep, that's your basic automatic door.	沒錯，就是一扇普通的自動門。
The tattered remains of your meal lay strewn about the table.	你那餐支離破碎的殘骸散落在桌上。
Why don't you buy a bag of food first?	你何不先買一袋食物？
Yes, the cold plastomold tables are like millions of others you've seen.	沒錯，這些冰冷的塑模桌跟你見過的千百萬張一模一樣。
The counter is your typical clerk-customer interface.	這櫃檯就是典型的店員與顧客介面。
You can't quite see it from here.  You'll have to stand up.	你在這裡看不太清楚，得先站起來才行。
The decor, like the food, is the same in Monolith Burgers all over the universe.  Generic counter clerks are eagerly waiting to help you. Diverse life-forms are crowded around the counter and sitting in booths consuming what can only loosely be termed food.	這裡的裝潢跟食物一樣，全宇宙的巨石漢堡都長得一個樣。制式化的櫃檯店員殷切等著為你服務。形形色色的生物擠在櫃檯前，或坐在卡座裡，吃著勉強能稱作食物的東西。
Come on, don't sit at a dirty table!	拜託，別坐在髒桌子那邊啦！
You'll have to get closer to an empty booth first.	你得先靠近一個空卡座才行。
You have to sit down to eat.	你得先坐下來才能吃東西。
You don't have any food.	你身上沒有任何食物。
Nah, let Mr. Employee of the Week clean it up.	算了吧，讓「本週最佳員工先生」自己清理去。
There's no bag around here.	這裡沒有袋子。
It's not trash yet.	這還不是垃圾。
There's no trash around here.	這裡沒有垃圾。
It's automatic, just walk near it.  This is the future, remember?	這是自動的，走近就好。畢竟這裡可是未來世界，別忘了。
You'll have to wait your turn. Of course, the way this line's moving, you may never get a turn.  Obviously, management carefully schedules the least amount of help for the busiest time of day.	你得排隊等。不過看這隊伍龜速前進的樣子，你可能永遠輪不到。看來店方很用心地在最忙的時段安排最少的人手。
The customers have better things to do than talk to a small-brained biped from a hick planet.	顧客們可沒空理你這個來自鄉下星球、腦袋沒多大的雙足動物。
You mumble to yourself.  The other customers eye you suspiciously.	你自言自語了起來，其他顧客都用懷疑的眼神看著你。
Inter-species relations are frowned upon around here.   You could get yourself killed for trying something like that.	這裡對異種間的親密行為可是很不以為然，你敢這樣搞會被做掉的。
After thinking it over, you repress your baser urges and remain non-violent.	想了想，你還是壓下了原始衝動，決定不動粗。
Bringing food on board your ship isn't a very good idea.  Considering how clumsy you are, you're liable to spill crumbs all over the computer or something.	把食物帶上船可不是什麼好主意。以你這麼笨手笨腳的程度，八成會把碎屑灑得電腦到處都是。
"OWWW!!!  Hey, what's this in my burger?  Oh, it must be my Fun Meal prize!  Hey, it's a swell decoder ring!"	「哎呦喂！嘿，我漢堡裡是什麼東西？喔，一定是我的歡樂餐贈品！嘿，是個超讚的解碼戒指！」
Mmmmmm, that was mighty tasty.  Well, maybe mildly tasty. Well, maybe not tasty at all.  In fact, it reminded you of the slick skin of a Vorlian mucusworm.	嗯嗯嗯，真是好吃極了。呃，也許只是還算好吃。呃，其實根本不好吃。老實說，那口感讓你想起沃利安黏液蟲滑溜溜的皮。
With the docking maneuver completed, the engines shut down. Welcome to Monolith Burger!	對接程序完成，引擎隨即關閉。歡迎光臨巨石漢堡！
You pop the hatch and ramble on in.	你打開艙門，晃悠悠地走了進去。
You slide back into the ship, closing the hatch behind you. The Docking Control Beam begins guiding you safely clear of Monolith Burger.	你溜回船艙，順手關上艙門。導航控制光束開始引導你安全駛離巨石漢堡。
Man, that Big Belcher Combo was a little too much for your delicate digestive tract.  You feel better now, except for being hungry again.  Of course, the thought of eating here doesn't appeal to you right at the moment.	天啊，那份「大打嗝套餐」對你嬌弱的腸胃來說有點太超過了。現在感覺好多了，只是又餓了。當然，此刻你完全不想再吃這裡的東西。
He's ignoring you because you don't have enough cash.	他在無視你，因為你身上的錢不夠。
A recent graduate of Pinhead University, the clerk obviously doesn't have the words 'fast food' in his vocabulary. A trained Vorlian wartslug could probably do a better job.	這店員顯然是「呆頭大學」的應屆畢業生，字典裡根本沒有「速食」這兩個字。找隻訓練有素的沃利安疣蛞蝓來做，搞不好還比較快。
The sleek ship parked on this side makes yours look like a real dog.	停在這邊的那艘流線型太空船，把你的船襯得像條破爛老狗。
You can't really make it out from here, get closer.	從這裡看不清楚，靠近點吧。
You'll have to get a little closer.	你得再靠近一點才行。
It's automatic, just walk near it. This is the future, remember?	這是自動的，走近就好。畢竟這裡可是未來世界，別忘了。
The sophisticated electronics resist your feeble tamperings.	這套精密電子系統，可不會被你這種三腳貓的亂搞得逞。
If you walk over to the clerk, you won't have to shout across the room.	走到店員那邊去，就不用隔著整個房間用喊的了。
Why not eat what you already have before ordering more?	何不先把手上的吃完，再點新的？
You gingerly pick up the greasy bag.  You can hardly wait to have a seat and dig in!	你小心翼翼地拿起那個油膩膩的紙袋，迫不及待想找個位子大快朵頤！
You are somewhere.	你人在某處。
You are in a large, flat expanse of desert. You see mountains to the north.	你身處一片廣闊平坦的沙漠。北邊可以看到山脈。
You don't see many sand dunes here.	這裡沒什麼沙丘可看。
The desert to the north grows darker as storm clouds loom overhead. You find yourself at the base of a gigantic metal model of a great beast.	北方的沙漠隨著暴風雲籠罩天空而漸漸昏暗。你發現自己站在一座巨大金屬猛獸模型的底座旁。
Whoever built this thing did a thorough job. Right down to the polyfoam toejam.	建造這玩意的人做得可真徹底，連腳趾縫的聚泡棉污垢都做出來了。
You see an entrance to the inside of the foot near its north end.	你看到這隻腳的北端附近有個通往內部的入口。
The doorway leads to the interior of Mog.	這道門通往莫格的內部。
Boy! It's a relief to know this baby is extinct.	天啊！知道這種東西已經絕種，還真令人鬆一口氣。
There are two signs here.	這裡有兩塊告示牌。
Leave it alone.	別碰它。
Mog: one of many large beasts that once roamed this vast desert. But they all eventually died of boredom and are now extinct.	莫格：曾經在這片廣袤沙漠中遊蕩的眾多巨獸之一。但牠們最後全都無聊到死，如今已經絕種。
Try facing in the right direction.	試著面向正確的方向。
See Phleebhut from Mog's Head Entrance Free.  sorry.. temporarily closed for repair.	免費從莫格頭部入口俯瞰弗利布特全景。抱歉……暫停維修中。
You're not close enough to read it.	你離得不夠近，看不清楚上面寫什麼。
The massive metal legs support an equally massive metal monster.  Kinda takes your breath away, doesn't it?	這對巨大的金屬腿，撐起了同樣巨大的金屬怪獸。夠讓人嘆為觀止吧？
Whoever built this thing did a thorough job.  Right down to the polyfoam toejam.	建造這玩意的人做得可真徹底，連腳趾縫的聚泡棉污垢都做出來了。
It looks real, but not real important.	看起來挺真，但沒什麼重要性。
It looks like Fester has closed up.  The door is closed and locked.	看來費斯特打烊了，門關著也上了鎖。
The doorway is wide open.	這道門敞開著。
There's no answer.	沒有人回應。
There isn't one here.	這裡沒有。
It appears to be locked.	看起來是鎖住的。
You don't see one here.	你在這裡沒看到這個東西。
You peer through the glass of the display case and find a cute and cuddly little creature. A small sign on the glass informs you that this is an Antarean slime devil. How cuuuuuuuute!	你透過展示櫃的玻璃窺視，看見一隻可愛討喜的小生物。玻璃上的小標示告訴你，這是隻安塔利黏液惡魔。好~可~愛~喔！
It's hard to see anything from this far away.	隔這麼遠什麼都看不清楚。
Just open the case.	直接打開櫃子就好。
You'd better get out of there.	你最好離開那裡。
Your arms just aren't quite long enough. Try getting a little closer.	你的手臂沒那麼長，靠近一點試試。
The sign on the door says "Closed".	門上的告示寫著「本日公休」。
Like a cool oasis in the desert, the friendly sign beckons you to enter the World o' Wonders tourist haven.	就像沙漠中一片沁涼的綠洲，這塊親切的招牌招手邀你走進「奇觀世界」觀光樂園。
Unfortunately, a closed door is keeping you out.   There seems to be a small sign on the door.	可惜一扇緊閉的門把你擋在外頭，門上似乎貼著一張小告示。
Ah Ha!  A tourist trap.  This giant metal facsimile of a space beast is nothing more than a cheap marketing ploy designed to suck in any moron dumb enough to fall for such trickery...  You suddenly feel like a dumb moron.	哈！觀光陷阱一個。這隻巨大金屬太空猛獸複製品，不過是設計來吸引白痴上鉤的廉價行銷噱頭……你突然覺得自己就是那個白痴。
They may be cute, but only an idiot would get near one! Looks like you won't be around to appreciate the other diverse wonders of this garden-spot of the universe.	牠們或許可愛，但只有笨蛋才敢靠近！看來你沒機會再欣賞這片宇宙樂園裡其他琳瑯滿目的奇觀了。
It's a nifty late-model hoverwagon, perfect for a family on the go!	這是台俏皮的最新款懸浮旅行車，最適合喜歡到處跑的一家人！
Kids are always welcome at the World o' Wonders tourist haven, but if you break it, you buy it!	「奇觀世界」觀光樂園永遠歡迎小朋友，但東西弄壞了就得買單！
"I hope everyone went to the bathroom! This is the last stop for 80,000 miles!"	「希望大家都上過廁所了！接下來八萬英里都沒站可停囉！」
Dad's pleased with his keen bargaining skills. "Boy, I sure got some good deals! This is some REAL high quality stuff!"	老爸對自己精明的殺價功力頗為得意。「哇塞，我可撿了不少便宜！這些東西品質真是沒話說！」
Obviously the friendly proprietor of this establishment. He certainly has an honest face.	顯然是這家店和藹可親的老闆，一臉老實樣。
